run,t,M1_gcm_aoi_dist,M2_angle_std,M3_defender_angle,sigmaR,muOmega,thetaOmega,clustered,anyWithin5,allBeyond20,defenderBetween,chosenBC
0,137,15.8975,0.0603741,0.198767,1.01566,0,0,1,0,0,1,5
0,138,15.8421,0.0696286,0.100611,0.90108,0,0,1,0,0,1,1
0,139,16.1075,0.0766824,0.0158877,0.918142,0,0,1,0,0,1,7
0,140,16.3938,0.0841854,0.0554294,0.9216,0,0,1,0,0,1,8
0,141,16.6675,0.0668178,0.00552171,0.951707,0,0,1,0,0,1,6
0,142,16.8554,0.0528269,0.015093,0.875738,0,0,1,0,0,1,1
0,143,17.0762,0.0607495,0.00782786,0.864754,0,0,1,0,0,1,9
0,144,16.9824,0.0688755,0.0269463,0.894976,0,0,1,0,0,1,8
0,145,17.1025,0.0621934,0.0305169,0.997488,0,0,1,0,0,1,2
0,146,17.0273,0.0629761,0.480863,1.23786,0,0,1,0,0,1,7
0,147,16.9531,0.0515542,0.0649092,1.09551,0,0,1,0,0,1,1
0,148,16.997,0.0426466,0.0231274,0.978068,0,0,1,0,0,1,1
0,149,16.9954,0.0668151,0.0383232,1.02031,0,0,1,0,0,1,1
0,150,16.8146,0.064449,0.0365741,1.11239,0,0,1,0,0,1,8
0,151,16.355,0.0486807,0.0301779,1.01013,0,0,1,0,0,1,2
0,152,16.0306,0.0417971,0.0141274,1.20433,0,0,1,0,0,1,1
0,153,16.0264,0.0656768,0.0375128,1.07441,0,0,1,0,0,1,3
0,154,16.0117,0.0711567,0.170111,0.941587,0,0,1,0,0,1,9
0,155,15.8832,0.0746739,8.82577e-05,0.766699,0,0,1,0,0,1,1
0,156,15.6953,0.0686609,0.0235991,0.766586,0,0,1,0,0,1,1
0,157,15.4982,0.0598647,0.0153831,1.06736,0,0,1,0,0,1,1
0,158,15.7376,0.0611527,0.0152712,1.04007,0,0,1,0,0,1,3
0,159,15.7538,0.0823236,2.72785,1.2313,0,0,1,0,0,0,10
0,160,16.0352,0.0856591,0.0544924,1.16623,0,0,1,0,0,1,6
0,161,16.2579,0.0606235,0.0255047,0.815695,0,0,1,0,0,1,6
0,162,16.427,0.0472406,0.000849911,0.678895,0,0,1,0,0,1,5
0,163,16.3116,0.0692841,0.00769009,1.02583,0,0,1,0,0,1,5
0,164,16.5911,0.0893392,0.00953876,1.05984,0,0,1,0,0,1,10
0,165,16.7543,0.075161,0.2527,0.886752,0,0,1,0,0,1,7
0,166,16.8287,0.0396489,0.0407578,0.558934,0,0,1,0,0,1,1
0,167,17.3129,0.0494158,0.0156282,0.871117,0,0,1,0,0,1,1
0,168,17.5099,0.0680611,0.00385381,0.798987,0,0,1,0,0,1,8
0,169,17.9288,0.0711127,0.0145516,0.766891,0,0,1,0,0,1,8
0,170,18.208,0.0614658,0.0491402,0.875253,0,0,1,0,0,1,3
0,171,18.0673,0.0589546,0.104141,1.04894,0,0,1,0,0,1,8
0,172,17.8173,0.0541216,0.0106806,0.84981,0,0,1,0,0,1,3
0,173,17.2998,0.0484343,0.00277408,0.880697,0,0,1,0,0,1,1
0,174,17.0013,0.0577846,0.00213731,0.936021,0,0,1,0,0,1,9
0,175,16.8218,0.090038,0.000320481,0.903034,0,0,1,0,0,1,8
0,176,16.7201,0.07847,0.00111549,1.04894,0,0,1,0,0,1,5
0,177,16.8481,0.0458003,0.0089171,0.848299,0,0,1,0,0,1,1
0,178,16.8882,0.040721,0.00609467,0.90227,0,0,1,0,0,1,1
0,179,17.0859,0.0680836,0.0229729,1.11787,0,0,1,0,0,1,8
0,180,17.0375,0.0829783,0.0235815,0.901659,0,0,1,0,0,1,8
0,181,16.8567,0.0694239,0.189296,0.98988,0,0,1,0,0,1,8
0,182,16.7184,0.0586457,0.0122609,1.09457,0,0,1,0,0,1,5
